,4-gram,count
0,"('may', 'earn', 'affiliate', 'commission')",173
1,"('earn', 'affiliate', 'commission', 'purchase')",172
2,"('affiliate', 'commission', 'purchase', 'something')",172
3,"('commission', 'purchase', 'something', 'recommended')",172
4,"('purchase', 'something', 'recommended', 'link')",172
5,"('something', 'recommended', 'link', 'article')",162
6,"('former', 'president', 'donald', 'trump')",157
7,"('and', 'or', 'access', 'information')",143
8,"('microsoft', 'may', 'earn', 'affiliate')",133
9,"('the', 'new', 'york', 'time')",114
10,"('child', 'sex', 'trafficking', 'ring')",106
11,"('or', 'access', 'information', 'deviceselect')",90
12,"('access', 'information', 'deviceselect', 'basic')",90
13,"('southern', 'poverty', 'law', 'center')",82
14,"('predicated', 'campaign', 'trying', 'sell')",82
15,"('campaign', 'trying', 'sell', 'big')",82
16,"('trying', 'sell', 'big', 'lie')",82
17,"('conspiracy', 'theory', 'known', 'pizzagate')",79
18,"('this', 'third', 'election', 'cycle')",77
19,"('campaign', 'manager', 'john', 'podesta')",69
20,"('comet', 'ping', 'pong', 'pizzeria')",68
21,"('house', 'speaker', 'nancy', 'pelosi')",67
22,"('storage', 'detailsmaximum', 'cookie', 'duration')",66
23,"('detailsmaximum', 'cookie', 'duration', 'day')",66
24,"('cookie', 'duration', 'day', 'non')",66
25,"('duration', 'day', 'non', 'cookie')",66
26,"('day', 'non', 'cookie', 'storage')",66
27,"('comet', 'ping', 'pong', 'restaurant')",65
28,"('read', 'the', 'daily', 'beast')",64
29,"('speaking', 'white', 'nationalist', 'conference')",64
30,"('purposesstore', 'and', 'or', 'access')",60
31,"('the', 'daily', 'beast', 'medium')",56
32,"('daily', 'beast', 'medium', 'newsletter')",56
33,"('daily', 'beast', 'biggest', 'scoop')",56
34,"('beast', 'biggest', 'scoop', 'scandal')",56
35,"('biggest', 'scoop', 'scandal', 'delivered')",56
36,"('scoop', 'scandal', 'delivered', 'right')",56
37,"('scandal', 'delivered', 'right', 'inbox')",56
38,"('delivered', 'right', 'inbox', 'sign')",56
39,"('right', 'inbox', 'sign', 'now')",56
40,"('inbox', 'sign', 'now', 'stay')",56
41,"('sign', 'now', 'stay', 'informed')",56
42,"('now', 'stay', 'informed', 'gain')",56
43,"('stay', 'informed', 'gain', 'unlimited')",56
44,"('informed', 'gain', 'unlimited', 'access')",56
45,"('gain', 'unlimited', 'access', 'daily')",56
46,"('unlimited', 'access', 'daily', 'beast')",56
47,"('access', 'daily', 'beast', 'unmatched')",56
48,"('daily', 'beast', 'unmatched', 'reporting')",56
49,"('beast', 'unmatched', 'reporting', 'subscribe')",56
50,"('unmatched', 'reporting', 'subscribe', 'now')",56
51,"('clinton', 'campaign', 'manager', 'john')",56
52,"('she', 'campaigned', 'alongside', 'steve')",56
53,"('campaigned', 'alongside', 'steve', 'bannon')",56
54,"('campaigned', 'alongside', 'one', 'chief')",56
55,"('earlier', 'year', 'florida', 'speaking')",56
56,"('year', 'florida', 'speaking', 'white')",56
57,"('florida', 'speaking', 'white', 'nationalist')",56
58,"('white', 'nationalist', 'conference', 'somebody')",56
59,"('nationalist', 'conference', 'somebody', 'frequently')",56
60,"('conference', 'somebody', 'frequently', 'spews')",56
61,"('conspiracy', 'theory', 'when', 'wonder')",55
62,"('theory', 'when', 'wonder', 'lost')",55
63,"('when', 'wonder', 'lost', 'race')",55
64,"('wonder', 'lost', 'race', 'look')",55
65,"('comet', 'ping', 'pong', 'pizza')",54
66,"('kari', 'lake', 'better', 'part')",53
67,"('felt', 'like', 'covering', 'donald')",53
68,"('like', 'covering', 'donald', 'trump')",53
69,"('covering', 'donald', 'trump', 'campaign')",53
70,"('somebody', 'frequently', 'spews', 'antisemitism')",53
71,"('campaign', 'chair', 'john', 'podesta')",52
72,"('third', 'election', 'cycle', 'row')",52
73,"('message', 'message', 'message', 'message')",51
74,"('far', 'right', 'conspiracy', 'theory')",50
75,"('hillary', 'clinton', 'campaign', 'manager')",48
76,"('sandy', 'hook', 'elementary', 'school')",48
77,"('morning', 'joe', 'host', 'joe')",48
78,"('joe', 'host', 'joe', 'scarborough')",48
79,"('covered', 'kari', 'lake', 'better')",48
80,"('donald', 'trump', 'campaign', 'arizona')",48
81,"('trump', 'campaign', 'arizona', 'last')",48
82,"('campaign', 'arizona', 'last', 'year')",48
83,"('conspiracy', 'theorist', 'alex', 'jones')",47
84,"('election', 'cycle', 'row', 'arizonan')",47
85,"('cycle', 'row', 'arizonan', 'rejected')",47
86,"('row', 'arizonan', 'rejected', 'trumpism')",47
87,"('hillary', 'clinton', 'campaign', 'chairman')",46
88,"('alongside', 'one', 'chief', 'promoter')",46
89,"('one', 'chief', 'promoter', 'pizzagate')",46
90,"('this', 'website', 'u', 'cooky')",46
91,"('paul', 'pelosi', 'conspiracy', 'theory')",46
92,"('big', 'lie', 'conspiracy', 'theory')",46
93,"('website', 'u', 'cooky', 'provide')",45
94,"('u', 'cooky', 'provide', 'best')",45
95,"('cooky', 'provide', 'best', 'user')",45
96,"('provide', 'best', 'user', 'experience')",45
97,"('best', 'user', 'experience', 'possible')",45
98,"('user', 'experience', 'possible', 'cookie')",45
99,"('experience', 'possible', 'cookie', 'information')",45
