,5-gram,count
0,"('hour', 'hour', 'hour', 'hour', 'hour')",798
1,"('may', 'earn', 'affiliate', 'commission', 'purchase')",331
2,"('earn', 'affiliate', 'commission', 'purchase', 'something')",331
3,"('affiliate', 'commission', 'purchase', 'something', 'recommended')",331
4,"('commission', 'purchase', 'something', 'recommended', 'link')",331
5,"('microsoft', 'may', 'earn', 'affiliate', 'commission')",283
6,"('purchase', 'something', 'recommended', 'link', 'article')",261
7,"('limiting', 'global', 'warming', 'degree', 'celsius')",137
8,"('pursue', 'effort', 'limit', 'temperature', 'increase')",79
9,"('special', 'climate', 'envoy', 'john', 'kerry')",79
10,"('something', 'recommended', 'link', 'article', 'the')",78
11,"('intergovernmental', 'panel', 'climate', 'change', 'ipcc')",66
12,"('warming', 'degree', 'celsius', 'degree', 'fahrenheit')",63
13,"('effort', 'limit', 'temperature', 'increase', 'said')",62
14,"('global', 'warming', 'degree', 'celsius', 'degree')",60
15,"('climate', 'security', 'global', 'warming', 'free')",56
16,"('security', 'global', 'warming', 'free', 'open')",56
17,"('global', 'warming', 'free', 'open', 'indo')",56
18,"('climate', 'envoy', 'john', 'kerry', 'said')",56
19,"('climate', 'summit', 'sharm', 'el', 'sheik')",54
20,"('summit', 'sharm', 'el', 'sheik', 'egypt')",54
21,"('said', 'microsoft', 'may', 'earn', 'affiliate')",52
22,"('resolve', 'pursue', 'effort', 'limit', 'temperature')",51
23,"('much', 'lower', 'temperature', 'increase', 'compared')",50
24,"('phase', 'inefficient', 'fossil', 'fuel', 'subsidy')",50
25,"('degree', 'celsius', 'pre', 'industrial', 'level')",49
26,"('standard', 'the', 'thomson', 'reuters', 'trust')",47
27,"('the', 'thomson', 'reuters', 'trust', 'principle')",47
28,"('intergovernmental', 'panel', 'climate', 'change', 'assessment')",47
29,"('commitment', 'limiting', 'global', 'warming', 'degree')",47
30,"('resort', 'town', 'sharm', 'el', 'sheikh')",46
31,"('reaffirming', 'commitment', 'limiting', 'global', 'warming')",46
32,"('degree', 'celsius', 'degree', 'fahrenheit', 'country')",46
33,"('celsius', 'degree', 'fahrenheit', 'country', 'allegedly')",46
34,"('degree', 'fahrenheit', 'country', 'allegedly', 'want')",46
35,"('fahrenheit', 'country', 'allegedly', 'want', 'back')",46
36,"('country', 'allegedly', 'want', 'back', 'away')",46
37,"('allegedly', 'want', 'back', 'away', 'target')",46
38,"('want', 'back', 'away', 'target', 'global')",46
39,"('back', 'away', 'target', 'global', 'climate')",46
40,"('away', 'target', 'global', 'climate', 'summit')",46
41,"('target', 'global', 'climate', 'summit', 'noting')",46
42,"('panel', 'climate', 'change', 'assessment', 'impact')",46
43,"('climate', 'change', 'assessment', 'impact', 'climate')",46
44,"('change', 'assessment', 'impact', 'climate', 'change')",46
45,"('assessment', 'impact', 'climate', 'change', 'much')",46
46,"('impact', 'climate', 'change', 'much', 'lower')",46
47,"('climate', 'change', 'much', 'lower', 'temperature')",46
48,"('change', 'much', 'lower', 'temperature', 'increase')",46
49,"('lower', 'temperature', 'increase', 'compared', 'resolve')",46
50,"('temperature', 'increase', 'compared', 'resolve', 'pursue')",46
51,"('increase', 'compared', 'resolve', 'pursue', 'effort')",46
52,"('compared', 'resolve', 'pursue', 'effort', 'limit')",46
53,"('limit', 'temperature', 'increase', 'said', 'official')",46
54,"('temperature', 'increase', 'said', 'official', 'statement')",46
55,"('increase', 'said', 'official', 'statement', 'leader')",46
56,"('said', 'official', 'statement', 'leader', 'nation')",46
57,"('official', 'statement', 'leader', 'nation', 'the')",46
58,"('statement', 'leader', 'nation', 'the', 'leader')",46
59,"('leader', 'nation', 'the', 'leader', 'met')",46
60,"('nation', 'the', 'leader', 'met', 'bali')",46
61,"('the', 'leader', 'met', 'bali', 'indonesia')",46
62,"('leader', 'met', 'bali', 'indonesia', 'prior')",46
63,"('met', 'bali', 'indonesia', 'prior', 'statement')",46
64,"('bali', 'indonesia', 'prior', 'statement', 'release')",46
65,"('indonesia', 'prior', 'statement', 'release', 'the')",46
66,"('prior', 'statement', 'release', 'the', 'statement')",46
67,"('statement', 'release', 'the', 'statement', 'come')",46
68,"('release', 'the', 'statement', 'come', 'special')",46
69,"('the', 'statement', 'come', 'special', 'climate')",46
70,"('statement', 'come', 'special', 'climate', 'envoy')",46
71,"('come', 'special', 'climate', 'envoy', 'john')",46
72,"('envoy', 'john', 'kerry', 'said', 'country')",46
73,"('john', 'kerry', 'said', 'country', 'resisted')",46
74,"('kerry', 'said', 'country', 'resisted', 'putting')",46
75,"('said', 'country', 'resisted', 'putting', 'degree')",46
76,"('country', 'resisted', 'putting', 'degree', 'target')",46
77,"('resisted', 'putting', 'degree', 'target', 'whatever')",46
78,"('putting', 'degree', 'target', 'whatever', 'agreement')",46
79,"('degree', 'target', 'whatever', 'agreement', 'come')",46
80,"('target', 'whatever', 'agreement', 'come', 'climate')",46
81,"('whatever', 'agreement', 'come', 'climate', 'summit')",46
82,"('agreement', 'come', 'climate', 'summit', 'sharm')",46
83,"('come', 'climate', 'summit', 'sharm', 'el')",46
84,"('sharm', 'el', 'sheik', 'egypt', 'the')",46
85,"('el', 'sheik', 'egypt', 'the', 'inclusion')",46
86,"('sheik', 'egypt', 'the', 'inclusion', 'target')",46
87,"('egypt', 'the', 'inclusion', 'target', 'statement')",46
88,"('the', 'inclusion', 'target', 'statement', 'may')",46
89,"('inclusion', 'target', 'statement', 'may', 'bolster')",46
90,"('target', 'statement', 'may', 'bolster', 'stature')",46
91,"('statement', 'may', 'bolster', 'stature', 'the')",46
92,"('may', 'bolster', 'stature', 'the', 'degree')",46
93,"('bolster', 'stature', 'the', 'degree', 'target')",46
94,"('stature', 'the', 'degree', 'target', 'set')",46
95,"('the', 'degree', 'target', 'set', 'paris')",46
96,"('agreement', 'surpassing', 'degree', 'warming', 'target')",46
97,"('surpassing', 'degree', 'warming', 'target', 'expected')",46
98,"('degree', 'warming', 'target', 'expected', 'subject')",46
99,"('warming', 'target', 'expected', 'subject', 'people')",46
