,5-gram,count
0,"('may', 'earn', 'affiliate', 'commission', 'purchase')",140
1,"('earn', 'affiliate', 'commission', 'purchase', 'something')",140
2,"('affiliate', 'commission', 'purchase', 'something', 'recommended')",140
3,"('commission', 'purchase', 'something', 'recommended', 'link')",140
4,"('purchase', 'something', 'recommended', 'link', 'article')",129
5,"('microsoft', 'may', 'earn', 'affiliate', 'commission')",101
6,"('oct', 'university', 'maine', 'alumnus', 'phillip')",42
7,"('university', 'maine', 'alumnus', 'phillip', 'susan')",42
8,"('maine', 'alumnus', 'phillip', 'susan', 'morse')",42
9,"('alumnus', 'phillip', 'susan', 'morse', 'committed')",42
10,"('phillip', 'susan', 'morse', 'committed', 'million')",42
11,"('susan', 'morse', 'committed', 'million', 'naming')",42
12,"('morse', 'committed', 'million', 'naming', 'right')",42
13,"('committed', 'million', 'naming', 'right', 'new')",42
14,"('million', 'naming', 'right', 'new', 'basketball')",42
15,"('naming', 'right', 'new', 'basketball', 'arena')",42
16,"('right', 'new', 'basketball', 'arena', 'planned')",42
17,"('new', 'basketball', 'arena', 'planned', 'campus')",42
18,"('basketball', 'arena', 'planned', 'campus', 'orono')",42
19,"('arena', 'planned', 'campus', 'orono', 'school')",42
20,"('planned', 'campus', 'orono', 'school', 'announced')",42
21,"('campus', 'orono', 'school', 'announced', 'friday')",42
22,"('orono', 'school', 'announced', 'friday', 'the')",42
23,"('school', 'announced', 'friday', 'the', 'significant')",42
24,"('announced', 'friday', 'the', 'significant', 'donation')",42
25,"('friday', 'the', 'significant', 'donation', 'augment')",42
26,"('the', 'significant', 'donation', 'augment', 'million')",42
27,"('significant', 'donation', 'augment', 'million', 'gift')",42
28,"('donation', 'augment', 'million', 'gift', 'harold')",42
29,"('augment', 'million', 'gift', 'harold', 'alfond')",42
30,"('million', 'gift', 'harold', 'alfond', 'foundation')",42
31,"('gift', 'harold', 'alfond', 'foundation', 'upgrade')",42
32,"('harold', 'alfond', 'foundation', 'upgrade', 'construct')",42
33,"('alfond', 'foundation', 'upgrade', 'construct', 'athletic')",42
34,"('foundation', 'upgrade', 'construct', 'athletic', 'facility')",42
35,"('upgrade', 'construct', 'athletic', 'facility', 'campus')",42
36,"('construct', 'athletic', 'facility', 'campus', 'year')",42
37,"('athletic', 'facility', 'campus', 'year', 'period')",42
38,"('facility', 'campus', 'year', 'period', 'part')",42
39,"('campus', 'year', 'period', 'part', 'alfond')",42
