,5-gram,count
0,"('may', 'earn', 'affiliate', 'commission', 'purchase')",258
1,"('earn', 'affiliate', 'commission', 'purchase', 'something')",258
2,"('affiliate', 'commission', 'purchase', 'something', 'recommended')",258
3,"('commission', 'purchase', 'something', 'recommended', 'link')",258
4,"('purchase', 'something', 'recommended', 'link', 'article')",244
5,"('microsoft', 'may', 'earn', 'affiliate', 'commission')",171
6,"('modal', 'window', 'beginning', 'dialog', 'window')",142
7,"('window', 'beginning', 'dialog', 'window', 'escape')",142
8,"('beginning', 'dialog', 'window', 'escape', 'cancel')",142
9,"('dialog', 'window', 'escape', 'cancel', 'close')",142
10,"('window', 'escape', 'cancel', 'close', 'window')",142
11,"('escape', 'cancel', 'close', 'window', 'end')",142
12,"('cancel', 'close', 'window', 'end', 'dialog')",142
13,"('close', 'window', 'end', 'dialog', 'window')",142
14,"('order', 'make', 'country', 'successful', 'safe')",135
15,"('make', 'country', 'successful', 'safe', 'glorious')",135
16,"('country', 'successful', 'safe', 'glorious', 'probably')",128
17,"('former', 'vice', 'president', 'mike', 'penny')",118
18,"('this', 'modal', 'window', 'beginning', 'dialog')",114
19,"('pope', 'francis', 'shock', 'world', 'endorses')",100
20,"('francis', 'shock', 'world', 'endorses', 'donald')",100
21,"('shock', 'world', 'endorses', 'donald', 'trump')",100
22,"('in', 'order', 'make', 'country', 'successful')",94
23,"('window', 'end', 'dialog', 'window', 'the')",76
24,"('world', 'endorses', 'donald', 'trump', 'president')",72
25,"('latest', 'breaking', 'update', 'delivered', 'straight')",72
26,"('breaking', 'update', 'delivered', 'straight', 'email')",72
27,"('update', 'delivered', 'straight', 'email', 'inbox')",72
28,"('the', 'latest', 'breaking', 'update', 'delivered')",70
29,"('sioux', 'gateway', 'airport', 'sioux', 'city')",66
30,"('delivered', 'straight', 'email', 'inbox', 'former')",66
31,"('straight', 'email', 'inbox', 'former', 'president')",66
32,"('email', 'inbox', 'former', 'president', 'donald')",66
33,"('inbox', 'former', 'president', 'donald', 'trump')",66
34,"('gateway', 'airport', 'sioux', 'city', 'iowa')",64
35,"('airport', 'sioux', 'city', 'iowa', 'thursday')",64
36,"('could', 'serve', 'two', 'term', 'reelected')",64
37,"('olivier', 'douliery', 'abaca', 'press', 'tn')",61
38,"('end', 'dialog', 'window', 'the', 'latest')",60
39,"('dialog', 'window', 'the', 'latest', 'breaking')",60
40,"('window', 'the', 'latest', 'breaking', 'update')",60
41,"('gov', 'kim', 'reynolds', 'sen', 'chuck')",58
42,"('kim', 'reynolds', 'sen', 'chuck', 'grassley')",58
43,"('trump', 'testify', 'either', 'capitol', 'videoconference')",53
44,"('house', 'committee', 'investigating', 'jan', 'attack')",53
45,"('committee', 'investigating', 'jan', 'attack', 'capitol')",53
46,"('former', 'president', 'donald', 'trump', 'suing')",51
47,"('president', 'donald', 'trump', 'suing', 'house')",50
48,"('donald', 'trump', 'suing', 'house', 'committee')",50
49,"('trump', 'suing', 'house', 'committee', 'investigating')",50
50,"('suing', 'house', 'committee', 'investigating', 'jan')",50
51,"('subpoena', 'requiring', 'testify', 'the', 'suit')",50
52,"('contends', 'former', 'president', 'voluntarily', 'agreed')",50
53,"('former', 'president', 'voluntarily', 'agreed', 'provide')",50
54,"('president', 'voluntarily', 'agreed', 'provide', 'testimony')",50
55,"('voluntarily', 'agreed', 'provide', 'testimony', 'document')",50
56,"('agreed', 'provide', 'testimony', 'document', 'response')",50
57,"('provide', 'testimony', 'document', 'response', 'congressional')",50
58,"('testimony', 'document', 'response', 'congressional', 'subpoena')",50
59,"('document', 'response', 'congressional', 'subpoena', 'past')",50
60,"('response', 'congressional', 'subpoena', 'past', 'president')",50
61,"('congressional', 'subpoena', 'past', 'president', 'former')",50
62,"('subpoena', 'past', 'president', 'former', 'president')",50
63,"('past', 'president', 'former', 'president', 'ever')",50
64,"('president', 'former', 'president', 'ever', 'compelled')",50
65,"('former', 'president', 'ever', 'compelled', 'so')",50
66,"('president', 'ever', 'compelled', 'so', 'long')",50
67,"('ever', 'compelled', 'so', 'long', 'held')",50
68,"('compelled', 'so', 'long', 'held', 'precedent')",50
69,"('so', 'long', 'held', 'precedent', 'practice')",50
70,"('long', 'held', 'precedent', 'practice', 'maintain')",50
71,"('held', 'precedent', 'practice', 'maintain', 'separation')",50
72,"('precedent', 'practice', 'maintain', 'separation', 'power')",50
73,"('practice', 'maintain', 'separation', 'power', 'prohibits')",50
74,"('maintain', 'separation', 'power', 'prohibits', 'congress')",50
75,"('separation', 'power', 'prohibits', 'congress', 'compelling')",50
76,"('power', 'prohibits', 'congress', 'compelling', 'president')",50
77,"('prohibits', 'congress', 'compelling', 'president', 'testify')",50
78,"('congress', 'compelling', 'president', 'testify', 'trump')",50
79,"('compelling', 'president', 'testify', 'trump', 'attorney')",50
80,"('president', 'testify', 'trump', 'attorney', 'david')",50
81,"('testify', 'trump', 'attorney', 'david', 'warrington')",50
82,"('trump', 'attorney', 'david', 'warrington', 'said')",50
83,"('attorney', 'david', 'warrington', 'said', 'statement')",50
84,"('david', 'warrington', 'said', 'statement', 'announcing')",50
85,"('warrington', 'said', 'statement', 'announcing', 'trump')",50
86,"('said', 'statement', 'announcing', 'trump', 'intention')",50
87,"('said', 'trump', 'engaged', 'committee', 'good')",50
88,"('trump', 'engaged', 'committee', 'good', 'faith')",50
89,"('engaged', 'committee', 'good', 'faith', 'effort')",50
90,"('committee', 'good', 'faith', 'effort', 'resolve')",50
91,"('good', 'faith', 'effort', 'resolve', 'concern')",50
