,5-gram,count
0,"('may', 'earn', 'affiliate', 'commission', 'purchase')",3725
1,"('earn', 'affiliate', 'commission', 'purchase', 'something')",3725
2,"('affiliate', 'commission', 'purchase', 'something', 'recommended')",3725
3,"('commission', 'purchase', 'something', 'recommended', 'link')",3725
4,"('purchase', 'something', 'recommended', 'link', 'article')",3425
5,"('microsoft', 'may', 'earn', 'affiliate', 'commission')",3178
6,"('hour', 'hour', 'hour', 'hour', 'hour')",1203
7,"('center', 'disease', 'control', 'prevention', 'cdc')",376
8,"('age', 'trend', 'report', 'age', 'trend')",365
9,"('trend', 'report', 'age', 'trend', 'report')",365
10,"('report', 'age', 'trend', 'report', 'age')",364
11,"('something', 'recommended', 'link', 'article', 'by')",341
12,"('according', 'center', 'disease', 'control', 'prevention')",325
13,"('the', 'center', 'disease', 'control', 'prevention')",302
14,"('musc', 'edu', 'for', 'information', 'musc')",294
15,"('edu', 'for', 'information', 'musc', 'health')",294
16,"('national', 'institute', 'allergy', 'infectious', 'disease')",289
17,"('standard', 'the', 'thomson', 'reuters', 'trust')",274
18,"('the', 'thomson', 'reuters', 'trust', 'principle')",274
19,"('something', 'recommended', 'link', 'article', 'the')",273
20,"('our', 'standard', 'the', 'thomson', 'reuters')",241
21,"('test', 'active', 'case', 'currently', 'hospitalized')",240
22,"('active', 'case', 'currently', 'hospitalized', 'death')",240
23,"('ad', 'free', 'news', 'current', 'affairscovid')",240
24,"('free', 'news', 'current', 'affairscovid', 'rssfollow')",240
25,"('news', 'current', 'affairscovid', 'rssfollow', 'rnz')",240
26,"('something', 'recommended', 'link', 'article', 'beijing')",233
27,"('commicrosoft', 'may', 'earn', 'affiliate', 'commission')",228
28,"('north', 'america', 'europe', 'asia', 'pacific')",224
29,"('case', 'currently', 'hospitalized', 'death', 'total')",216
30,"('report', 'breakthrough', 'report', 'breakthrough', 'report')",216
31,"('currently', 'hospitalized', 'death', 'total', 'vaccine')",215
32,"('hospitalized', 'death', 'total', 'vaccine', 'do')",215
33,"('death', 'total', 'vaccine', 'do', 'given')",215
34,"('total', 'vaccine', 'do', 'given', 'vaccine')",215
35,"('vaccine', 'do', 'given', 'vaccine', 'do')",215
36,"('do', 'given', 'vaccine', 'do', 'supplied')",215
37,"('breakthrough', 'report', 'breakthrough', 'report', 'breakthrough')",215
38,"('ad', 'content', 'measurement', 'audience', 'insight')",209
39,"('given', 'vaccine', 'do', 'supplied', 'oklahoma')",209
40,"('vaccine', 'do', 'supplied', 'oklahoma', 'covid')",209
41,"('do', 'supplied', 'oklahoma', 'covid', 'data')",209
42,"('offeredprimary', 'vaccine', 'seriesbooster', 'dosesappointment', 'location')",208
43,"('personalised', 'ad', 'content', 'ad', 'content')",205
44,"('ad', 'content', 'ad', 'content', 'measurement')",205
45,"('content', 'ad', 'content', 'measurement', 'audience')",205
46,"('content', 'measurement', 'audience', 'insight', 'product')",205
47,"('measurement', 'audience', 'insight', 'product', 'development')",205
48,"('data', 'center', 'disease', 'control', 'prevention')",203
49,"('supplied', 'oklahoma', 'covid', 'data', 'update')",203
50,"('for', 'ad', 'free', 'news', 'current')",203
51,"('oklahoma', 'covid', 'data', 'update', 'thursday')",199
52,"('actively', 'scan', 'device', 'characteristic', 'identification')",197
53,"('and', 'or', 'access', 'information', 'device')",193
54,"('data', 'actively', 'scan', 'device', 'characteristic')",187
55,"('precise', 'geolocation', 'data', 'actively', 'scan')",184
56,"('geolocation', 'data', 'actively', 'scan', 'device')",184
57,"('director', 'national', 'institute', 'allergy', 'infectious')",181
58,"('distributed', 'tribune', 'content', 'agency', 'llc')",180
59,"('use', 'precise', 'geolocation', 'data', 'actively')",179
60,"('tribune', 'content', 'agency', 'llc', 'microsoft')",178
61,"('content', 'agency', 'llc', 'microsoft', 'may')",178
62,"('agency', 'llc', 'microsoft', 'may', 'earn')",178
63,"('llc', 'microsoft', 'may', 'earn', 'affiliate')",178
64,"('musc', 'covid', 'epidemiology', 'intelligence', 'project')",174
65,"('ltcf', 'covid', 'weekly', 'report', 'summaryweek')",173
66,"('covid', 'weekly', 'report', 'summaryweek', 'ltcf')",173
67,"('weekly', 'report', 'summaryweek', 'ltcf', 'covid')",173
68,"('report', 'summaryweek', 'ltcf', 'covid', 'weekly')",173
69,"('summaryweek', 'ltcf', 'covid', 'weekly', 'report')",173
70,"('medical', 'university', 'south', 'carolina', 'musc')",172
71,"('dhec', 'covid', 'vaccine', 'information', 'line')",172
72,"('the', 'community', 'encouraged', 'monitor', 'muschealth')",168
73,"('community', 'encouraged', 'monitor', 'muschealth', 'org')",168
74,"('encouraged', 'monitor', 'muschealth', 'org', 'covid')",168
75,"('education', 'research', 'patient', 'care', 'each')",166
76,"('research', 'patient', 'care', 'each', 'year')",166
77,"('patient', 'care', 'each', 'year', 'musc')",166
78,"('care', 'each', 'year', 'musc', 'educates')",166
79,"('six', 'college', 'dental', 'medicine', 'graduate')",166
80,"('college', 'dental', 'medicine', 'graduate', 'study')",166
81,"('dental', 'medicine', 'graduate', 'study', 'health')",166
82,"('medicine', 'graduate', 'study', 'health', 'profession')",166
83,"('graduate', 'study', 'health', 'profession', 'medicine')",166
84,"('study', 'health', 'profession', 'medicine', 'nursing')",166
85,"('health', 'profession', 'medicine', 'nursing', 'pharmacy')",166
86,"('for', 'information', 'academic', 'program', 'visit')",166
87,"('information', 'academic', 'program', 'visit', 'musc')",166
88,"('academic', 'program', 'visit', 'musc', 'edu')",166
89,"('system', 'medical', 'university', 'south', 'carolina')",166
90,"('university', 'south', 'carolina', 'musc', 'health')",166
91,"('south', 'carolina', 'musc', 'health', 'dedicated')",166
92,"('carolina', 'musc', 'health', 'dedicated', 'delivering')",166
93,"('musc', 'health', 'dedicated', 'delivering', 'highest')",166
94,"('health', 'dedicated', 'delivering', 'highest', 'quality')",166
95,"('serve', 'people', 'south', 'carolina', 'beyond')",166
96,"('year', 'news', 'world', 'report', 'named')",166
97,"('news', 'world', 'report', 'named', 'musc')",166
98,"('world', 'report', 'named', 'musc', 'health')",166
99,"('report', 'named', 'musc', 'health', 'no')",166
