,noun,count
0,year,1891
1,m,1322
2,time,1256
3,dicaprio,1239
4,world,785
5,company,754
6,people,715
7,star,629
8,news,623
9,home,577
10,money,558
11,state,551
12,day,534
13,donation,533
14,gigi,527
15,actor,519
16,life,509
17,t,497
18,family,488
19,week,478
20,source,474
21,foundation,474
22,fund,444
23,city,436
24,leonardo,430
25,president,429
26,game,403
27,thing,402
28,share,396
29,way,389
30,work,388
31,part,377
32,team,372
33,service,361
34,party,357
35,support,355
36,season,350
37,site,348
38,article,338
39,something,336
40,series,336
41,investment,333
42,month,331
43,security,331
44,york,330
45,help,325
46,relationship,323
47,play,323
48,house,317
49,show,309
50,organization,308
51,story,305
52,information,305
53,com,302
54,community,300
55,data,300
56,powerball,297
57,plan,292
58,purchase,291
59,country,289
60,facility,288
61,player,287
62,report,281
63,group,278
64,film,275
65,role,274
66,today,266
67,min,264
68,school,263
69,project,261
70,cooky,260
71,release,258
72,hr,257
73,leo,255
74,number,250
75,movie,248
76,price,248
77,couple,246
78,night,243
79,war,242
80,dollar,241
81,hadid,241
82,lot,240
83,image,240
84,business,236
85,gift,232
86,man,225
87,amazon,224
88,government,221
89,change,221
90,fan,221
91,get,219
92,friend,219
93,woman,218
94,twitter,218
95,access,216
96,hill,216
97,account,215
98,hollywood,214
99,member,213
