,noun,count
0,trump,11345
1,president,6394
2,election,3145
3,news,2390
4,year,2024
5,donald,1796
6,people,1788
7,house,1716
8,time,1696
9,state,1587
10,party,1436
11,campaign,1282
12,desantis,1242
13,candidate,1241
14,term,1093
15,day,1083
16,country,1038
17,story,1024
18,medium,1010
19,committee,995
20,week,978
21,m,924
22,t,871
23,office,828
24,facebook,806
25,statement,722
26,world,707
27,gop,707
28,york,696
29,post,686
30,article,677
31,month,673
32,way,641
33,announcement,640
34,race,629
35,poll,625
36,thing,609
37,twitter,608
38,support,606
39,biden,590
40,voter,587
41,mar,587
42,leader,585
43,result,584
44,governor,566
45,night,559
46,s,557
47,florida,553
48,vote,547
49,rally,539
50,member,535
51,joe,521
52,company,515
53,democrat,510
54,part,507
55,comment,485
56,senate,482
57,effort,480
58,attorney,477
59,information,469
60,ron,456
61,truth,455
62,investigation,452
63,washington,452
64,law,451
65,something,432
66,event,431
67,source,429
68,policy,425
69,document,412
70,claim,411
71,press,410
72,endorsement,409
73,court,409
74,group,405
75,congress,403
76,midterm,402
77,run,401
78,gov,401
79,site,399
80,government,395
81,percent,392
82,fact,392
83,business,392
84,case,384
85,person,384
86,penny,383
87,window,383
88,others,379
89,organization,376
90,iowa,372
91,report,370
92,order,368
93,decision,367
94,show,366
95,point,366
96,supporter,365
97,justice,365
98,power,362
99,mr,362
