,noun,count
0,russia,12808
1,war,10265
2,country,4761
3,force,4477
4,president,4301
5,ukraine,4131
6,region,3775
7,power,3593
8,state,3461
9,putin,3211
10,city,3130
11,missile,3081
12,people,3046
13,attack,2930
14,energy,2773
15,service,2739
16,kherson,2735
17,world,2552
18,minister,2507
19,month,2415
20,day,2325
21,defense,2311
22,kyiv,2303
23,drone,2298
24,time,2258
25,moscow,2185
26,year,2164
27,security,2144
28,invasion,2111
29,week,2094
30,air,2082
31,support,1984
32,infrastructure,1981
33,leader,1849
34,strike,1815
35,troop,1814
36,official,1813
37,plant,1757
38,news,1734
39,system,1706
40,weapon,1643
41,report,1607
42,use,1595
43,part,1571
44,nation,1453
45,ministry,1452
46,government,1421
47,area,1379
48,vladimir,1365
49,conflict,1357
50,information,1340
51,defence,1307
52,supply,1301
53,kremlin,1277
54,something,1227
55,commission,1227
56,volodymyr,1209
57,winter,1182
58,zelenskyy,1155
59,market,1147
60,article,1142
61,agency,1122
62,member,1112
63,statement,1106
64,territory,1038
65,iran,1033
66,facility,1021
67,s,1012
68,purchase,1000
69,end,995
70,cooky,964
71,group,958
72,sanction,956
73,talk,948
74,affiliate,937
75,head,918
76,water,913
77,help,897
78,line,890
79,crime,879
80,peace,878
81,border,878
82,secretary,872
83,authority,861
84,way,859
85,situation,851
86,t,850
87,medium,844
88,claim,841
89,deal,839
90,europe,835
91,threat,834
92,grain,833
93,electricity,833
94,number,830
95,effort,822
96,house,819
97,army,814
98,gas,805
99,operation,804
