,noun,count
0,election,38288
1,state,19669
2,president,9561
3,vote,9058
4,voter,9057
5,year,9033
6,party,8326
7,trump,8013
8,race,7822
9,house,7797
10,candidate,7137
11,democrat,6305
12,ballot,6140
13,day,6081
14,people,5646
15,time,5157
16,result,4953
17,senate,4631
18,campaign,4449
19,county,4362
20,poll,4262
21,country,4064
22,seat,4041
23,news,3688
24,law,3641
25,issue,3461
26,congress,3377
27,governor,3366
28,control,3363
29,official,3276
30,government,3213
31,majority,3156
32,voting,3150
33,office,3064
34,abortion,3050
35,week,2882
36,biden,2805
37,term,2757
38,district,2646
39,court,2557
40,group,2495
41,support,2480
42,democracy,2471
43,t,2437
44,secretary,2356
45,something,2333
46,commission,2286
47,system,2251
48,policy,2231
49,m,2218
50,place,2198
51,article,2194
52,leader,2184
53,donald,2168
54,month,2155
55,midterm,2136
56,way,2107
57,s,2079
58,fraud,2042
59,victory,2041
60,point,2011
61,number,1974
62,work,1969
63,report,1965
64,claim,1963
65,medium,1928
66,member,1928
67,power,1881
68,part,1871
69,gop,1860
70,joe,1854
71,purchase,1833
72,georgia,1825
73,night,1822
74,effort,1812
75,city,1789
76,security,1782
77,attorney,1747
78,world,1740
79,affiliate,1739
80,re,1731
81,investigation,1665
82,case,1656
83,process,1613
84,information,1613
85,threat,1581
86,decision,1573
87,question,1555
88,woman,1542
89,committee,1520
90,washington,1511
91,line,1509
92,senator,1491
93,administration,1491
94,worker,1468
95,politics,1438
96,inflation,1426
97,mail,1403
98,change,1383
99,data,1367
