,noun,count
0,gun,34498
1,law,26811
2,state,18204
3,people,10187
4,year,10113
5,court,9059
6,violence,8030
7,firearm,7963
8,police,7031
9,school,6516
10,time,5299
11,mass,4711
12,county,4646
13,measure,4646
14,purchase,4152
15,york,4064
16,day,4042
17,control,3700
18,amendment,3673
19,city,3643
20,case,3584
21,crime,3561
22,enforcement,3559
23,country,3551
24,news,3544
25,safety,3530
26,something,3481
27,bill,3456
28,owner,3447
29,weapon,3291
30,article,3181
31,t,3103
32,flag,3071
33,permit,3007
34,judge,3000
35,community,2984
36,place,2924
37,officer,2904
38,death,2868
39,legislation,2862
40,colorado,2854
41,group,2761
42,order,2728
43,commission,2653
44,ban,2645
45,life,2605
46,affiliate,2500
47,office,2473
48,decision,2471
49,magazine,2462
50,president,2451
51,government,2450
52,number,2449
53,attorney,2446
54,carry,2434
55,issue,2407
56,part,2368
57,month,2356
58,check,2351
59,district,2340
60,support,2313
61,week,2300
62,department,2289
63,policy,2273
64,family,2270
65,assault,2243
66,home,2190
67,house,2159
68,student,2124
69,way,2112
70,rate,2086
71,health,2085
72,rifle,2052
73,sheriff,2033
74,person,2032
75,s,2020
76,action,2019
77,restriction,1998
78,others,1955
79,university,1953
80,report,1917
81,handgun,1907
82,background,1904
83,microsoft,1901
84,lawsuit,1878
85,information,1860
86,sale,1855
87,election,1815
88,member,1769
89,texas,1721
90,use,1714
91,nation,1703
92,work,1685
93,right,1666
94,effect,1649
95,record,1627
96,child,1619
97,re,1608
98,act,1597
99,oregon,1586
