,noun,count
0,brexit,33659
1,eu,19323
2,government,18390
3,deal,17110
4,trade,16134
5,year,16122
6,ireland,14361
7,minister,13574
8,country,12820
9,people,12238
10,time,10483
11,agreement,9465
12,party,9359
13,union,8483
14,britain,8336
15,market,7975
16,johnson,7937
17,business,7806
18,border,7286
19,week,6993
20,economy,6270
21,month,5969
22,state,5952
23,share,5782
24,term,5742
25,way,5633
26,part,5603
27,rule,5512
28,world,5511
29,law,5474
30,leader,5405
31,uk,5324
32,president,5165
33,policy,5116
34,commission,5111
35,day,4998
36,post,4971
37,issue,4947
38,protocol,4934
39,member,4666
40,election,4574
41,plan,4432
42,europe,4423
43,change,4351
44,mr,4288
45,vote,4281
46,brussels,4191
47,work,4100
48,access,4042
49,relationship,3979
50,report,3924
51,cost,3872
52,service,3858
53,end,3807
54,talk,3778
55,di,3767
56,decision,3717
57,parliament,3686
58,custom,3651
59,news,3568
60,period,3546
61,support,3538
62,cent,3532
63,group,3508
64,bill,3508
65,company,3482
66,food,3472
67,t,3456
68,number,3445
69,bloc,3367
70,data,3280
71,la,3273
72,article,3240
73,something,3234
74,mp,3172
75,boris,3157
76,house,3154
77,secretary,3129
78,que,3070
79,statement,3045
80,side,3029
81,negotiation,3018
82,tax,2982
83,area,2947
84,today,2946
85,case,2944
86,office,2943
87,place,2916
88,thing,2910
89,check,2851
90,problem,2821
91,growth,2793
92,referendum,2772
93,price,2711
94,le,2699
95,france,2694
96,il,2668
97,use,2647
98,health,2645
99,che,2608
