,noun,count
0,china,23947
1,taiwan,13265
2,xi,7505
3,war,7229
4,state,6443
5,president,6202
6,year,5143
7,country,4906
8,island,4834
9,force,4741
10,people,4716
11,biden,4678
12,world,4524
13,policy,4285
14,s,4251
15,party,3971
16,security,3938
17,defense,3741
18,leader,3654
19,government,3500
20,time,3498
21,conflict,3480
22,meeting,3257
23,house,3148
24,official,2898
25,relation,2872
26,beijing,2746
27,invasion,2634
28,missile,2482
29,threat,2424
30,month,2358
31,nation,2343
32,power,2339
33,russia,2328
34,trade,2318
35,week,2285
36,strait,2272
37,report,2254
38,issue,2238
39,term,2219
40,part,2212
41,visit,2159
42,news,2079
43,washington,1947
44,tension,1929
45,use,1869
46,japan,1850
47,support,1776
48,action,1755
49,election,1749
50,day,1743
51,region,1743
52,way,1682
53,economy,1682
54,air,1667
55,jinping,1664
56,interest,1657
57,article,1644
58,chip,1643
59,system,1591
60,control,1579
61,change,1543
62,administration,1543
63,something,1516
64,minister,1506
65,summit,1503
66,concern,1494
67,congress,1469
68,weapon,1445
69,line,1429
70,attack,1415
71,cooperation,1397
72,taipei,1397
73,side,1383
74,sea,1354
75,secretary,1352
76,talk,1350
77,work,1333
78,semiconductor,1323
79,commission,1303
80,speaker,1298
81,relationship,1290
82,nancy,1280
83,case,1265
84,plan,1262
85,effort,1258
86,technology,1256
87,decade,1237
88,statement,1237
89,climate,1216
90,supply,1213
91,view,1208
92,risk,1202
93,peace,1187
94,democracy,1171
95,development,1169
96,strategy,1165
97,claim,1165
98,question,1164
99,office,1157
