,noun,count
0,trump,24936
1,president,9264
2,twitter,4672
3,election,4485
4,year,3379
5,donald,3195
6,house,3115
7,time,2879
8,musk,2817
9,people,2711
10,campaign,2695
11,state,2322
12,party,2305
13,company,2261
14,court,2229
15,account,2095
16,news,2073
17,tax,1980
18,t,1943
19,platform,1909
20,week,1838
21,medium,1833
22,day,1746
23,candidate,1685
24,article,1680
25,mar,1664
26,committee,1649
27,something,1579
28,commission,1420
29,desantis,1411
30,purchase,1404
31,statement,1384
32,return,1376
33,fuentes,1359
34,affiliate,1319
35,office,1316
36,poll,1279
37,york,1276
38,vote,1275
39,case,1275
40,way,1267
41,post,1236
42,decision,1168
43,country,1155
44,announcement,1151
45,thing,1119
46,truth,1103
47,speech,1096
48,month,1089
49,gop,1083
50,investigation,1082
51,law,1063
52,comment,1035
53,claim,1029
54,meeting,1015
55,dinner,996
56,leader,964
57,voter,958
58,attorney,935
59,fraud,926
60,organization,905
61,document,881
62,justice,872
63,capitol,853
64,result,842
65,lawsuit,830
66,department,825
67,business,812
68,night,810
69,judge,804
70,part,799
71,florida,798
72,support,798
73,elon,789
74,politics,781
75,lawyer,778
76,trial,770
77,tweet,770
78,term,768
79,group,766
80,joe,765
81,biden,763
82,ye,763
83,race,758
84,bid,744
85,west,743
86,story,734
87,point,722
88,re,716
89,presidency,711
90,carroll,710
91,prosecutor,696
92,question,695
93,governor,693
94,man,688
95,record,688
96,policy,687
97,kanye,686
98,lago,685
99,jan,683
