,noun,count
0,jones,8022
1,infowars,2789
2,hook,2111
3,family,1598
4,year,1474
5,conspiracy,1381
6,damage,1342
7,people,1271
8,capitol,1183
9,company,1141
10,twitter,1122
11,trial,1085
12,musk,1083
13,court,1072
14,school,1062
15,child,983
16,trump,980
17,judge,961
18,case,945
19,day,943
20,account,880
21,video,857
22,speech,852
23,texas,844
24,jury,806
25,sandy,783
26,bankruptcy,773
27,show,761
28,claim,759
29,week,748
30,time,738
31,t,704
32,parent,700
33,lawyer,696
34,medium,691
35,victim,680
36,president,673
37,attack,635
38,system,628
39,news,626
40,house,609
41,theory,600
42,shroyer,590
43,state,588
44,attorney,559
45,defamation,556
46,month,547
47,lawsuit,521
48,election,507
49,law,494
50,government,492
51,death,492
52,service,491
53,montoya,481
54,police,480
55,something,472
56,article,454
57,officer,450
58,jan,424
59,massacre,422
60,host,407
61,world,405
62,site,403
63,building,398
64,plaintiff,395
65,policy,394
66,theorist,393
67,connecticut,385
68,shot,381
69,comment,377
70,mr,372
71,platform,364
72,order,363
73,part,362
74,member,358
75,purchase,358
76,prosecutor,357
77,verdict,351
78,hoax,351
79,m,348
80,product,345
81,information,333
82,com,328
83,life,326
84,threat,324
85,donald,317
86,man,315
87,support,314
88,business,312
89,riot,310
90,money,309
91,group,308
92,editor,303
93,commission,302
94,statement,301
95,charge,301
96,report,301
97,pay,300
98,affiliate,300
99,conduct,295
