,0
million,3264.0
said,2069.0
year,1891.0
dicaprio,1315.0
time,1256.0
one,1177.0
new,1115.0
also,981.0
would,842.0
world,785.0
ukraine,763.0
company,754.0
get,754.0
two,739.0
people,715.0
like,712.0
gigi,706.0
may,692.0
star,677.0
first,676.0
news,623.0
according,611.0
home,603.0
leonardo,593.0
last,570.0
money,558.0
made,558.0
state,551.0
leo,547.0
right,547.0
actor,542.0
back,539.0
say,536.0
day,534.0
donation,533.0
could,531.0
since,531.0
make,522.0
life,509.0
family,488.0
foundation,482.0
week,478.0
source,474.0
billion,473.0
fund,459.0
work,438.0
city,436.0
president,429.0
told,429.0
hadid,416.0
know,405.0
game,403.0
still,403.0
thing,402.0
want,402.0
help,399.0
share,396.0
old,393.0
well,391.0
best,390.0
way,389.0
team,387.0
com,385.0
play,384.0
around,383.0
even,383.0
support,382.0
see,381.0
together,381.0
part,377.0
good,373.0
big,370.0
many,370.0
show,369.0
service,361.0
win,359.0
party,357.0
season,350.0
site,348.0
private,347.0
got,347.0
another,347.0
go,344.0
look,343.0
much,341.0
york,339.0
article,338.0
series,336.0
something,336.0
investment,333.0
mcingvale,332.0
month,331.0
security,331.0
astros,324.0
bezos,323.0
including,323.0
relationship,323.0
need,322.0
powerball,322.0
come,319.0
