,verb,count
0,said,4940
1,warming,3801
2,say,1496
3,according,1071
4,made,875
5,including,865
6,make,838
7,developing,802
8,reduce,749
9,need,739
10,get,713
11,come,713
12,found,689
13,take,625
14,rising,604
15,based,573
16,used,558
17,go,553
18,set,542
19,see,540
20,caused,537
21,t,533
22,published,516
23,keep,514
24,increasing,495
25,expected,471
26,going,461
27,called,459
28,reducing,450
29,using,442
30,continue,401
31,compared,400
32,released,372
33,put,370
34,known,367
35,limiting,364
36,think,361
37,want,358
38,added,355
39,told,351
40,burning,349
41,recommended,348
42,know,346
43,increased,345
44,seen,338
45,earn,335
46,led,332
47,working,326
48,developed,321
49,read,320
50,agreed,317
51,become,315
52,find,314
53,needed,314
54,making,308
55,climate,296
56,provide,284
57,reached,275
58,warned,273
59,coming,269
60,done,264
61,related,262
62,associated,248
63,growing,243
64,re,242
65,taken,241
66,include,236
67,given,235
68,provides,230
69,help,227
70,getting,226
71,produce,222
72,increase,222
73,reported,218
74,looking,218
75,believe,215
76,egypt,214
77,leading,213
78,causing,211
79,changing,211
80,binding,211
81,began,205
82,required,205
83,noted,204
84,produced,203
85,met,202
86,finding,201
87,melting,200
88,flooding,199
89,taking,199
90,reach,199
91,projected,196
92,following,196
93,helping,195
94,includes,192
95,show,191
96,affected,185
97,announced,184
98,got,183
99,cooling,181
