,verb,count
0,said,4794
1,say,1179
2,told,1082
3,run,905
4,made,895
5,trump,887
6,t,878
7,get,815
8,make,786
9,think,763
10,according,707
11,take,689
12,going,670
13,know,604
14,including,587
15,want,562
16,go,534
17,see,504
18,running,492
19,come,477
20,asked,460
21,called,440
22,reported,428
23,is,418
24,expected,409
25,saying,402
26,elected,395
27,read,378
28,announced,374
29,added,361
30,fake,350
31,serve,344
32,found,342
33,got,342
34,making,338
35,endorsed,338
36,re,328
37,set,326
38,put,322
39,left,318
40,took,316
41,lost,316
42,need,300
43,came,290
44,earn,286
45,went,267
46,recommended,261
47,wrote,256
48,donald,247
49,done,242
50,believe,238
51,beginning,235
52,seen,233
53,filed,226
54,continued,223
55,held,223
56,used,214
57,taking,211
58,appeared,210
59,based,209
60,do,208
61,leading,205
62,following,202
63,served,201
64,remains,198
65,keep,196
66,announcing,196
67,getting,194
68,published,192
69,leaving,192
70,known,189
71,looking,186
72,posted,182
73,hold,181
74,testify,180
75,are,178
76,trying,177
77,became,173
78,taken,173
79,telling,173
80,shared,170
81,investigating,170
82,given,168
83,seems,168
84,voted,167
85,facing,166
86,speaking,165
87,find,164
88,give,160
89,showed,159
90,sen,159
91,be,158
92,revealed,158
93,adding,156
94,have,156
95,coming,155
96,released,155
97,stand,155
98,working,148
99,tweeted,147
