,verb,count
0,said,14479
1,according,2170
2,say,2162
3,told,1946
4,made,1498
5,including,1484
6,reported,1200
7,added,1196
8,russia,1180
9,called,1129
10,fighting,1043
11,used,1010
12,shelling,952
13,recommended,943
14,earn,938
15,killed,919
16,make,918
17,set,909
18,take,876
19,t,824
20,need,820
21,come,782
22,using,762
23,see,745
24,saying,744
25,damaged,743
26,left,713
27,going,708
28,following,705
29,armed,698
30,want,695
31,think,672
32,announced,653
33,continue,646
34,get,636
35,based,636
36,occupied,635
37,ukraine,628
38,hit,620
39,launched,616
40,kyiv,614
41,seen,610
42,continues,599
43,warned,589
44,read,582
45,expected,560
46,provide,560
47,accused,536
48,held,536
49,caused,527
50,go,521
51,know,507
52,began,497
53,given,496
54,came,488
55,trying,481
56,believe,467
57,claimed,462
58,asked,453
59,adding,451
60,destroyed,449
61,targeting,436
62,lost,430
63,put,425
64,use,422
65,find,419
66,taken,416
67,provided,416
68,wrote,415
69,coming,413
70,started,412
71,led,406
72,working,401
73,sent,385
74,taking,378
75,continued,375
76,found,373
77,remains,368
78,making,364
79,denied,357
80,fired,345
81,leave,335
82,urged,332
83,providing,330
84,calling,327
85,committed,326
86,keep,323
87,forced,321
88,took,320
89,beginning,312
90,preparing,312
91,noted,308
92,helping,305
93,condemned,305
94,growing,300
95,include,295
96,delivered,292
97,citing,292
98,invaded,289
99,met,286
