,verb,count
0,said,35189
1,say,8306
2,told,6959
3,eu,5267
4,t,4927
5,want,4909
6,added,4813
7,make,4651
8,made,4391
9,take,4173
10,come,4127
11,think,3960
12,going,3843
13,leave,3743
14,get,3696
15,need,3634
16,including,3584
17,according,3555
18,set,3477
19,see,3433
20,go,3045
21,called,2837
22,left,2748
23,put,2659
24,based,2529
25,read,2503
26,agreed,2469
27,leaving,2426
28,saying,2344
29,warned,2277
30,done,2258
31,remain,2255
32,found,2159
33,seen,2111
34,following,2034
35,asked,2029
36,find,2005
37,given,1978
38,know,1976
39,continue,1967
40,working,1955
41,used,1933
42,ireland,1905
43,expected,1885
44,came,1874
45,voted,1862
46,recommended,1857
47,earn,1813
48,announced,1745
49,hit,1721
50,believe,1706
51,coming,1684
52,keep,1636
53,took,1586
54,got,1551
55,required,1531
56,reported,1483
57,ensure,1469
58,become,1462
59,making,1415
60,led,1411
61,britain,1402
62,taking,1396
63,re,1386
64,taken,1355
65,caused,1348
66,give,1321
67,adding,1308
68,needed,1304
69,include,1302
70,provide,1301
71,wanted,1298
72,speaking,1252
73,held,1230
74,remains,1206
75,leading,1205
76,brexit,1200
77,published,1190
78,compared,1170
79,lost,1170
80,mean,1160
81,signed,1136
82,check,1114
83,living,1114
84,improve,1106
85,trying,1096
86,apply,1090
87,claimed,1077
88,do,1067
89,europe,1055
90,using,1044
91,understanding,1043
92,reached,1030
93,run,1018
94,look,1012
95,went,1007
96,looking,1006
97,moving,992
98,wrote,989
99,suggested,985
