,verb,count
0,said,14534
1,beijing,4600
2,china,3472
3,taiwan,2774
4,including,2408
5,say,2146
6,told,2067
7,made,1886
8,according,1672
9,make,1618
10,think,1613
11,take,1514
12,t,1470
13,come,1420
14,added,1285
15,see,1271
16,going,1192
17,want,1191
18,saying,1175
19,recommended,1097
20,need,1082
21,earn,1056
22,held,1034
23,s,1031
24,called,1026
25,defend,960
26,based,937
27,get,892
28,seen,862
29,came,861
30,set,856
31,following,838
32,meeting,829
33,reported,828
34,jinping,826
35,go,810
36,growing,796
37,met,782
38,warned,779
39,taking,757
40,led,755
41,used,754
42,agreed,736
43,took,734
44,believe,724
45,put,691
46,continue,683
47,raised,674
48,ing,668
49,changed,660
50,armed,648
51,expected,636
52,given,634
53,making,625
54,know,624
55,using,622
56,find,619
57,read,611
58,ruled,595
59,liberation,594
60,increasing,585
61,rising,572
62,trying,560
63,advanced,558
64,asked,543
65,island,532
66,leading,530
67,become,528
68,coming,508
69,taken,499
70,continued,477
71,working,472
72,remains,470
73,shared,467
74,keep,461
75,face,456
76,looking,433
77,re,433
78,launched,431
79,include,426
80,preparing,426
81,ruling,423
82,aimed,422
83,speaking,419
84,appeared,413
85,announced,404
86,becoming,399
87,got,398
88,reiterated,397
89,began,397
90,increased,395
91,stressed,391
92,provide,387
93,adding,384
94,noted,383
95,known,383
96,responded,380
97,run,377
98,ensure,373
99,released,373
