,verb,count
0,said,2610
1,say,775
2,vaccinated,722
3,get,707
4,according,652
5,covid,644
6,recommended,517
7,including,503
8,received,404
9,earn,377
10,told,328
11,based,324
12,reported,318
13,cov,306
14,going,305
15,make,300
16,made,297
17,getting,294
18,t,289
19,found,265
20,need,259
21,following,243
22,know,237
23,re,236
24,go,220
25,take,215
26,aged,208
27,required,202
28,used,194
29,compared,187
30,want,187
31,published,185
32,got,185
33,died,181
34,see,179
35,developed,178
36,called,174
37,given,172
38,think,172
39,vaccine,164
40,related,162
41,come,158
42,working,153
43,taking,150
44,read,150
45,trying,150
46,showed,149
47,done,149
48,seen,145
49,administered,143
50,asked,143
51,making,143
52,led,137
53,included,133
54,set,132
55,provide,131
56,updated,129
57,testing,127
58,added,126
59,using,125
60,looking,124
61,needed,122
62,put,120
63,refused,113
64,known,112
65,approved,112
66,refusing,111
67,receiving,110
68,china,109
69,keep,106
70,coming,106
71,include,105
72,consider,105
73,wrote,105
74,lost,105
75,give,104
76,appeared,103
77,announced,102
78,continued,101
79,neutralizing,100
80,worked,99
81,associated,97
82,continue,96
83,require,96
84,find,94
85,protected,94
86,conducted,93
87,provided,92
88,boosted,91
89,dose,90
90,expected,88
91,remains,88
92,became,87
93,caused,87
94,held,85
95,denied,85
96,reduce,84
97,treated,84
98,protect,83
99,seeing,83
