,verb,count
0,said,37972
1,covid,15442
2,say,9981
3,reported,9352
4,including,8032
5,get,7991
6,according,7927
7,testing,7871
8,recommended,5358
9,vaccinated,4899
10,make,4786
11,t,4622
12,based,4525
13,need,4283
14,take,4207
15,getting,3947
16,going,3889
17,told,3829
18,know,3813
19,earn,3781
20,see,3706
21,found,3593
22,used,3556
23,received,3547
24,beijing,3512
25,go,3240
26,made,3217
27,compared,3212
28,seen,3036
29,come,2912
30,given,2876
31,following,2852
32,continue,2696
33,tested,2674
34,related,2650
35,added,2620
36,updated,2590
37,announced,2586
38,think,2580
39,expected,2569
40,cov,2552
41,china,2528
42,re,2481
43,include,2429
44,using,2429
45,want,2425
46,provide,2346
47,published,2315
48,find,2282
49,set,2243
50,working,2214
51,called,2201
52,infected,2179
53,required,2143
54,increased,2052
55,keep,2041
56,read,2023
57,rising,1998
58,asked,1990
59,making,1981
60,taking,1956
61,reporting,1954
62,showed,1919
63,got,1890
64,known,1843
65,confirmed,1829
66,rose,1801
67,reduce,1763
68,associated,1714
69,fell,1713
70,coming,1712
71,began,1640
72,needed,1597
73,led,1563
74,aged,1562
75,setting,1548
76,remain,1531
77,took,1520
78,hit,1513
79,become,1507
80,died,1502
81,wearing,1499
82,closed,1487
83,includes,1474
84,saying,1471
85,help,1464
86,put,1463
87,came,1443
88,provides,1440
89,thanksgiving,1440
90,provided,1427
91,wrote,1418
92,taken,1403
93,included,1393
94,remains,1375
95,lost,1365
96,hospitalized,1363
97,started,1344
98,show,1343
99,seeing,1324
