,verb,count
0,said,8031
1,trump,1928
2,say,1841
3,told,1806
4,t,1773
5,made,1624
6,going,1432
7,earn,1315
8,recommended,1301
9,run,1268
10,including,1253
11,make,1247
12,announced,1243
13,know,1233
14,think,1194
15,wrote,1104
16,asked,1101
17,running,1073
18,go,972
19,saying,966
20,called,891
21,get,878
22,according,818
23,following,806
24,tweeted,796
25,see,785
26,come,772
27,reinstated,770
28,added,763
29,take,726
30,lost,706
31,took,689
32,came,680
33,want,668
34,got,623
35,donald,598
36,read,598
37,left,583
38,posted,582
39,fuentes,506
40,filed,498
41,put,484
42,reported,480
43,known,479
44,banned,470
45,alleged,463
46,making,462
47,went,454
48,related,436
49,asking,433
50,claimed,432
51,used,426
52,believe,422
53,win,411
54,seen,408
55,need,403
56,set,400
57,given,396
58,knew,392
59,appeared,384
60,getting,376
61,keep,361
62,done,361
63,found,359
64,paid,356
65,re,355
66,voted,355
67,allowed,354
68,held,354
69,return,354
70,endorsed,353
71,coming,352
72,announcing,351
73,launched,351
74,using,349
75,started,348
76,is,336
77,elected,333
78,do,331
79,accused,331
80,taking,325
81,evening,320
82,trying,316
83,continued,313
84,began,312
85,give,307
86,telling,306
87,expected,306
88,working,304
89,become,300
90,talking,300
91,received,300
92,met,299
93,winning,291
94,seems,291
95,denied,288
96,shared,286
97,appointed,283
98,remains,278
99,taken,278
