,verb,count
0,said,13258
1,according,1887
2,told,1778
3,say,1470
4,added,1161
5,earn,1148
6,recommended,1145
7,russia,1105
8,reported,1074
9,including,1073
10,made,862
11,called,859
12,take,817
13,set,809
14,t,798
15,used,793
16,shelling,751
17,continue,691
18,launched,655
19,make,639
20,killed,629
21,saying,618
22,armed,607
23,going,586
24,hit,580
25,wrote,553
26,fighting,548
27,left,544
28,accused,542
29,held,537
30,based,523
31,want,520
32,think,520
33,come,513
34,began,511
35,using,509
36,occupied,504
37,get,503
38,go,500
39,following,487
40,know,487
41,trying,484
42,caused,483
43,see,475
44,expected,456
45,need,456
46,warned,448
47,given,446
48,editing,439
49,seen,437
50,read,429
51,adding,420
52,announced,405
53,found,404
54,kyiv,396
55,claimed,381
56,sent,373
57,keep,370
58,taking,366
59,taken,352
60,preparing,349
61,remains,343
62,came,324
63,coming,320
64,asked,319
65,damaged,316
66,leave,314
67,put,312
68,ukraine,312
69,remain,308
70,agreed,306
71,meeting,306
72,making,305
73,fired,304
74,took,301
75,become,297
76,working,296
77,known,293
78,increased,289
79,believe,287
80,done,287
81,related,285
82,provide,284
83,forced,283
84,committed,280
85,looking,280
86,continues,280
87,provided,278
88,published,272
89,reporting,267
90,continued,267
91,led,264
92,met,262
93,building,258
94,reached,254
95,noted,250
96,lost,245
97,re,244
98,putin,243
99,beginning,242
